Fund ID,Department ID,Program ID,Account ID,Estimates 2022
1001,41300,101,520527,"-34,984"
1001,41300,171,520527,-
1001,41300,101,520536,-
1001,41300,101,520999,250
1001,41300,101,530650,"-5,700"
1001,41300,101,530654,"-10,000"
1001,41300,101,530658,-
1001,41300,101,530660,-
1001,41300,101,530667,"-85,700"
1001,41300,101,530668,-
1001,41300,101,530670,"-71,355"
1001,41300,101,530675,"-190,000"
1001,41300,175,540690,-
1001,41300,101,550601,"-8,000"
1001,41300,101,550602,"-3,000"
1001,41300,101,550603,"-2,000"
1001,41300,101,550605,-200
1001,41300,101,550606,-
1001,41300,101,550652,"-2,000"
1001,41300,101,550656,-
1001,41300,101,550663,"-73,000"
1001,41300,101,560616,-
1001,41300,101,560617,"-10,000"
1001,41300,101,560620,"-4,500"
1001,41300,171,560620,-
1001,41300,101,560623,-
1001,41300,101,560625,-
1001,41300,101,560670,"-40,000"
1001,41300,101,570710,
1001,41300,101,581804,
1001,41300,101,591825,"-500,000"
1001,41300,101,591826,"-700,000"
1001,41300,101,591860,"-40,000"
1001,41300,101,591890,-
1001,41300,101,591895,"-4,000,000"
1001,42500,101,510501,"-616,086"
1001,42500,101,510503,-
1001,42500,101,520519,-
1001,42500,101,520520,-465
1001,42500,101,520521,"-108,667"
1001,42500,101,520522,"-6,659"
1001,42500,101,520523,"-6,656"
1001,42500,101,520525,"-6,512,755"
1001,42500,101,520527,"-2,906"
1001,42500,101,530650,"-4,000"
1001,42500,101,530667,"-69,200"
1001,42500,101,550601,-250
1001,42500,101,550602,"-12,550"
1001,42500,101,550603,"-1,000"
1001,42500,101,550671,"-3,000"
1001,42500,101,560620,"-4,000"
1001,42500,101,560625,"-3,000"
1001,42500,101,560638,"-1,000"
1001,42510,101,510501,"-6,964,240"
1001,42510,101,510503,"-500,000"
1001,42510,101,510999,-
1001,42510,101,510509,-
1001,42510,101,510510,"-65,000"
1001,42510,101,510516,"-150,000"
1001,42510,101,510519,"-40,000"
1001,42510,101,510521,"-101,940"
1001,42510,101,520515,-
